,likes,dislikes,views,ratio likes/dislikes,ratio likes/views,comments ratio,title,url link
7,846,34,79174,24.88235,0.01069,0.01111,Funny SPORTS FAILS Compilation May 2017 | Funny Vines,https://www.youtube.com/watch?v=ijRsKljwN58
10,1256,52,139407,24.15385,0.00901,0.00938,TRY NOT TO LAUGH or GRIN - Funny Animals Vines Compilation 2017 | Funny Vines,https://www.youtube.com/watch?v=IXaF9cTCQdU
22,961,41,78546,23.43902,0.01223,0.01276,Try Not To Laugh or Grin While Watching Thomas Sanders Funny Vines - Best Viners 2017,https://www.youtube.com/watch?v=Het_lFTcT6I
3,2188,101,187072,21.66337,0.0117,0.01224,Top VIRAL VIDEOS Compilation 2017 | Funny Vines,https://www.youtube.com/watch?v=JWn9LLVE7iQ
28,2300,108,270067,21.2963,0.00852,0.00892,TRY NOT to LAUGH or GRIN - David Lopez Funny Vines Compilation 2017,https://www.youtube.com/watch?v=ECvqW6gxqbo
2,413,20,13092,20.65,0.03155,0.03307,Fails of the Month: May 2017 - Epic Fails Compilation | Funny Vines,https://www.youtube.com/watch?v=CA7SsUYIH-8
6,514,25,41462,20.56,0.0124,0.013,Ultimate Basketball Trick Shots & Fails Compilation | Funny Vines,https://www.youtube.com/watch?v=ChswDIzaSro
17,636,33,17505,19.27273,0.03633,0.03822,Beyond Vines Compilation May 2017 (Part 8) Funny Vines & Instagram Videos 2017,https://www.youtube.com/watch?v=DFsZgIEsQ94
15,3687,215,565729,17.14884,0.00652,0.0069,Funny Vines April 2017 (Part 2) TBT Vine compilation,https://www.youtube.com/watch?v=HoDpwkPesZ8
4,2288,136,266607,16.82353,0.00858,0.00909,Funny KIDS FAILS Compilation May 2017 | Funny Vines,https://www.youtube.com/watch?v=cdWrraZ1yFA
14,2288,136,266607,16.82353,0.00858,0.00909,Funny KIDS FAILS Compilation May 2017 | Funny Vines,https://www.youtube.com/watch?v=cdWrraZ1yFA
21,3665,222,601798,16.50901,0.00609,0.00646,Funny Vines May 2017 (Part 2) TBT Vine compilation,https://www.youtube.com/watch?v=7mpvxDxVIWM
19,4849,327,718881,14.82875,0.00675,0.0072,Beyond Vine compilation May 2017 (Part 2) Funny Vines & Instagram Videos 2017,https://www.youtube.com/watch?v=yFtOIDZnxuM
16,2508,171,492979,14.66667,0.00509,0.00543,Best WATER FAILS 2017 | Funny Vines,https://www.youtube.com/watch?v=VudNBFiBwiY
8,2508,171,492885,14.66667,0.00509,0.00544,Best WATER FAILS 2017 | Funny Vines,https://www.youtube.com/watch?v=VudNBFiBwiY
27,127899,11204,43259598,11.41548,0.00296,0.00322,AFV Funny Vines Fails Compilation - Best Vines 2016,https://www.youtube.com/watch?v=0pxaHyz_E5w
11,1285,122,148803,10.53279,0.00864,0.00946,TRY NOT to LAUGH or GRIN - Meghan McCarthy Funny Vines Compilation,https://www.youtube.com/watch?v=Zbuo23EQjY0
9,1024,102,162545,10.03922,0.0063,0.00693,Fails of the Week: Best DAMN FAILS Compilation May 2017 | Funny Vines,https://www.youtube.com/watch?v=PW4bGqpMgS0
12,68597,7584,17962028,9.04496,0.00382,0.00424,Kids Fails Compilation | Funny Vines 2016,https://www.youtube.com/watch?v=NfiISKrzQw4
26,10619,1191,1887643,8.91604,0.00563,0.00626,Funny Instagram Videos Compilation May 2017 | Best Vines & Instagram Videos May 2017,https://www.youtube.com/watch?v=kfM_iwUN4BY
0,369256,42534,134788322,8.68143,0.00274,0.00306,*Try Not To Laugh Challenge* Funny Kids Vines Compilation 2016 | Funniest Kids Videos,https://www.youtube.com/watch?v=RNXb6BvRyvg
5,381,46,17872,8.28261,0.02132,0.02389,DOPE ISLAND vs. KENNY KNOX Compilation | Funny Vines,https://www.youtube.com/watch?v=zvZIAMzDVYE
25,2971,437,686433,6.79863,0.00433,0.00496,TRY NOT TO LAUGH or GRIN: Funny Fails Vines Compilation 2017 | Best Kids Fails Funny Videos 2017,https://www.youtube.com/watch?v=8yRe7JITqpQ
13,391,63,51865,6.20635,0.00754,0.00875,TRY NOT TO LAUGH CHALLENGE: Funny Vines Compilation 2017 - Best Fails Vines May 2017,https://www.youtube.com/watch?v=hqc5-n4BDS8
18,8332,1410,2331166,5.90922,0.00357,0.00418,TRY NOT TO LAUGH or GRIN Funny Fails Vines Compilation 2017 | The Best Fails Vines Videos May 2017,https://www.youtube.com/watch?v=no0u9MeK1XY
20,83332,14601,25110175,5.70728,0.00332,0.0039,"*IF YOU LAUGH, YOU LOSE* Funny Kids Fails Vines Compilation 2017 Part 2 | by Life Awesome",https://www.youtube.com/watch?v=jrnQjUiahJc
24,1244,240,314700,5.18333,0.00395,0.00472,TRY NOT TO LAUGH or GRIN: Funny Fails Compilation 2017 | Best Fails Vines of May 2017,https://www.youtube.com/watch?v=PpiBMssuxRI
23,122,24,7038,5.08333,0.01733,0.02074,TOP SUPER FUNNY VINES - Try not to laugh - New best vines 2017,https://www.youtube.com/watch?v=OiK1lwITWM8
1,4376,968,1547553,4.52066,0.00283,0.00345,TRY NOT TO LAUGH or GRIN: Funny Vines Fails Compilation 2017 | Funny King Bach Vines Videos,https://www.youtube.com/watch?v=V6uO4paiD-s
